# f695bbeb-b9cd-40dd-aec6-6e58cf9832b9,,,,,,,,,
# afd3be82cbbb3d33ea115b15c59834b0da2720a2,,,,,,,,,
# s, x, y, psi, kappa, vx, ax, steer_tire_deg, steer_wheel_deg, throttle_pct
0,-1.8763508,0.356263,1.0936538,-0.0461624,12.8615565,3.743581,-4.0531601,-15.4587525,100
1.9976893,-3.5934904,1.3507273,0.99521,-0.0547859,13.4304378,2.5291307,-4.8070543,-18.334105,100
3.9953787,-5.2606109,2.5871599,0.8669626,-0.0608873,13.8015033,1.1754151,-5.3394644,-20.3647173,100
5.993068,-6.6999947,3.9665147,0.74199,-0.076853,13.9706021,-0.2168641,-6.7280531,-25.6607946,0
7.9907574,-7.8697365,5.5386464,0.5313421,-0.0503169,13.9395577,2.5696256,-4.416552,-16.8447295,100
9.9884467,-8.588513,7.2403435,0.2772026,-0.0696213,14.3030729,0.1764389,-6.0999705,-23.2652876,100
11.9861361,-9.0393758,9.2242001,0.1778768,-0.0414372,14.3276947,3.2351854,-3.6394622,-13.8809088,100
13.9838254,-9.3300808,11.2868666,0.1100494,-0.0223153,14.7718864,3.757546,-1.9618389,-7.4824537,100
15.9815148,-9.511828,13.2703286,0.0755538,-0.0136351,15.2715895,3.7408651,-1.1990227,-4.5730726,100
17.9792041,-9.639418,15.3817697,0.0441976,-0.0164018,15.7533367,3.7242582,-1.4422212,-5.5006317,100
19.9768935,-9.7050243,17.2452143,0.0480154,0.0484196,16.2187373,0.9148393,4.250644,16.211956,100
21.9745828,-9.8748242,19.115621,0.109386,-0.0066521,16.3310309,3.7036638,-0.5850211,-2.2312704,100
23.9722721,-10.0601703,21.2198209,0.0574095,-0.0303285,16.777965,-2.9371528,-2.6654398,-10.1659874,0
25.9699615,-10.1168252,23.2383797,-0.0016143,-0.0312602,16.4245265,-3.7560186,-2.7471964,-10.4778072,0
27.9676508,-10.0394434,25.3119375,-0.0717501,-0.0278532,15.9611514,-4.3073054,-2.4481716,-9.3373266,0
29.9653402,-9.8673008,27.2278439,-0.0970585,-0.0037308,15.412626,-0.7129476,-0.3281191,-1.2514463,0
31.9630295,-9.6249653,29.1950361,-0.1680192,-0.0602989,15.3199394,-0.5795404,-5.2881614,-20.1690477,0
33.9607189,-9.198508,31.0580592,-0.2792771,-0.0532782,15.2441812,-1.298792,-4.6753612,-17.8318276,0
35.9584082,-8.5244098,33.0279778,-0.3720566,-0.0304413,15.0730187,-4.4326734,-2.6753345,-10.2037258,0
37.9560976,-7.7431312,34.8953829,-0.4152435,-0.0145848,14.4736203,-6.5621967,-1.2825086,-4.8914877,0
39.9537869,-6.8732084,36.8092836,-0.4329553,0.0010228,13.5376225,-4.2227519,0.0899525,0.3430789,0
41.9514763,-6.1188479,38.5037436,-0.3894429,0.0446466,12.8994469,-3.8889447,3.9204916,14.9527551,0
43.9491656,-5.4550098,40.2903673,-0.3398074,-0.0074349,12.2824234,-5.3121296,-0.6538658,-2.4938441,0
45.946855,-4.7167986,42.234617,-0.3970207,-0.0409602,11.3856908,-4.2779498,-3.5976704,-13.7215151,0
47.9445443,-3.8337112,44.0874595,-0.4999993,-0.0640944,10.6085779,-0.1244939,-5.618956,-21.4306983,0
49.9422336,-2.7281502,45.757505,-0.6963351,-0.1338753,10.5851086,-0.1244939,-11.6125425,-44.2902371,0
51.939923,-1.260154,47.1039371,-0.9508158,-0.1033899,10.5615872,-1.0524791,-9.01783,-34.3940035,0
53.9376123,0.4571246,48.1204063,-1.116666,-0.0797639,10.3606019,-3.408882,-6.9804125,-26.6232932,0
55.9353017,2.3412843,48.8571308,-1.2782115,-0.0765316,9.6810277,-0.1036756,-6.7001693,-25.5544458,0
57.932991,4.2064516,49.256371,-1.4739512,-0.1607578,9.6596104,-0.1036756,-13.8615657,-52.8680117,0
59.9306804,6.0992052,49.1928823,-1.7279625,-0.1354334,9.6381456,1.1869542,-11.7439589,-44.7914594,100
61.9283697,8.0672738,48.5955543,-1.9949222,-0.1146169,9.8811023,1.9231104,-9.9783273,-38.0573404,100
63.9260591,9.8082219,47.5509326,-2.2323571,-0.1282089,10.2625404,0.6814192,-11.1335626,-42.4634076,100
65.9237484,11.229361,46.1030304,-2.4929606,-0.1189479,10.3943381,1.025873,-10.3473715,-39.4648748,100
67.9214378,12.2342782,44.3989351,-2.7247195,-0.1178947,10.5896655,0.1417489,-10.2577063,-39.1228918,100
69.9191271,12.8317079,42.5078742,-2.9367364,-0.0891721,10.616372,-2.6648257,-7.7941655,-29.7269474,0
71.9168164,13.0841791,40.5350561,-3.092291,-0.0901773,10.1024931,-0.4662183,-7.8809245,-30.057846,0
73.9145058,12.9673029,38.5349969,2.9577061,-0.1430631,10.0098776,-0.1225643,-12.3856577,-47.2388983,0
75.9121951,12.2968391,36.5477868,2.6938541,-0.1026326,9.9853872,-0.110297,-8.9528557,-34.1461915,0
77.9098845,11.2443176,34.8484808,2.4626543,-0.1511072,9.9632966,-0.110297,-13.0588076,-49.8062922,0
79.9075738,9.9639923,33.558285,2.3301953,0.0070526,9.941157,3.8901927,0.6202475,2.3656241,100
81.9052632,8.5241759,32.219882,2.3097122,0.0071652,10.6943628,-0.5027729,0.63015,2.403392,0
83.9029525,7.0438451,30.8101589,2.3652782,0.0425801,10.6000296,-4.9895442,3.7395621,14.26269,0
85.9006419,5.6769273,29.2656301,2.4753248,0.0631553,9.6138186,-3.9086555,5.5371413,21.1186568,0
87.8983312,4.5656028,27.6176332,2.633958,0.101958,8.7640715,-3.7322942,8.8949536,33.925353,0
89.8960206,3.7248182,25.6445985,2.8437465,0.1062589,7.867466,-0.0684705,9.263792,35.3321025,0
91.8937099,3.4528869,23.7406902,-3.0544054,0.2434138,7.8500608,-0.0684705,20.4877093,78.1401231,0
93.8913993,3.7938765,21.892038,-2.8393482,0.1325079,7.832617,3.5961834,11.4971005,43.8499411,100
95.8890886,4.5415835,20.10011,-2.6701906,0.073151,8.7016093,3.9158689,6.4067236,24.4352439,100
97.8867779,5.6105436,18.3508832,-2.5197638,0.0634006,9.5584195,3.8984851,5.5585171,21.2001842,100
99.8844673,6.8764099,16.7792585,-2.414543,0.0411361,10.3411463,3.8811785,3.6130834,13.7803,100
101.8821566,8.2456551,15.335684,-2.359184,0.015434,11.0655359,3.7044851,1.3571495,5.1761682,100
103.879846,9.6966897,13.8982617,-2.3522057,-0.0095864,11.7152425,-5.0481415,-0.8430539,-3.2154075,0
105.8775353,11.0751866,12.474639,-2.4051851,-0.0493574,10.8202435,-2.6201527,-4.3326555,-16.5247482,0
107.8752247,12.3378952,10.8781877,-2.5549828,-0.096702,10.3251715,-2.3524077,-8.443192,-32.2023341,0
109.872914,13.2411768,9.1466772,-2.7710467,-0.1110144,9.8595338,-1.5607333,-9.6707159,-36.8841106,0
111.8706034,13.7769668,7.2118138,-2.9555143,-0.0645034,9.5380652,-1.6211752,-5.6545777,-21.5665595,0
113.8682927,14.0363241,5.2794476,-3.0801301,-0.1436295,9.192251,-0.0934711,-12.4331742,-47.4201265,0
115.8659821,13.8352219,3.3881299,2.8670354,-0.1783082,9.171915,-0.0934711,-15.3071417,-58.3814383,0
117.8636714,12.9020061,1.5320775,2.4846483,-0.1717116,9.1515339,0.2371061,-14.7660354,-56.317659,100
119.8613607,11.4952022,0.16405,2.2149791,-0.1226524,9.2031463,2.3654115,-10.6623467,-40.6661903,100
121.8590501,9.7046634,-0.8411594,1.9430647,-0.1317771,9.703021,1.2785191,-11.4353707,-43.6145039,100
123.8567394,7.7675589,-1.3463724,1.724467,-0.0852217,9.9627699,3.3783355,-7.4528483,-28.4251635,100
125.8544288,5.7713694,-1.508291,1.5844715,-0.0662898,10.6185928,3.8747172,-5.8101221,-22.1598057,100
127.8521181,3.8126958,-1.4105888,1.4599998,-0.0589631,11.3241104,3.8248987,-5.1716536,-19.7246868,100
129.8498075,1.8466743,-1.0671156,1.333019,-0.0668627,11.9798746,2.7226869,-5.8599948,-22.35002,100
131.8474968,-0.0306159,-0.4790454,1.2032236,-0.0615616,12.425601,2.7592065,-5.3982482,-20.5889187,100
133.8451862,-1.8763508,0.356263,1.0936538,-0.0461624,12.8615565,3.743581,-4.0531601,-15.4587525,100
